District Name,District Number,Staff Type,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Pacific Islander,Multiple Races/Ethnicities,White,Unknown Race/Ethnicity
State of Tennessee,0,Administrators,Fewer than 5 Educators,0.21%,21.38%,1.14%,Fewer than 5 Educators,0.64%,71.64%,4.87%
State of Tennessee,0,All Educators,0.12%,0.48%,12.83%,2.04%,0.04%,0.81%,75.15%,8.53%
State of Tennessee,0,Teachers,0.13%,0.53%,11.65%,2.26%,0.04%,0.87%,75.73%,8.78%
Anderson County,10,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.67%,Fewer than 5 Educators
Anderson County,10,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.94%,10.76%
Anderson County,10,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.71%,10.84%
Clinton,11,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Clinton,11,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,76.83%,20.73%
Clinton,11,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,75.41%,21.31%
Oak Ridge,12,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.96%,Fewer than 5 Educators
Oak Ridge,12,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,4.39%,3.23%,Fewer than 5 Educators,Fewer than 5 Educators,88.68%,2.54%
Oak Ridge,12,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,3.87%,3.87%,Fewer than 5 Educators,Fewer than 5 Educators,87.80%,2.98%
Bedford County,20,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,80.00%,Fewer than 5 Educators
Bedford County,20,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,3.53%,2.12%,Fewer than 5 Educators,Fewer than 5 Educators,85.31%,7.77%
Bedford County,20,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,3.12%,1.65%,Fewer than 5 Educators,Fewer than 5 Educators,86.03%,7.72%
Benton County,30,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Benton County,30,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.39%,5.98%
Benton County,30,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.89%,6.08%
Bledsoe County,40,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Bledsoe County,40,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.50%,10.94%
Bledsoe County,40,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.87%,11.11%
Blount County,50,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.11%,Fewer than 5 Educators
Blount County,50,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,0.62%,1.60%,Fewer than 5 Educators,Fewer than 5 Educators,85.19%,12.10%
Blount County,50,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,1.24%,Fewer than 5 Educators,Fewer than 5 Educators,84.50%,13.33%
Alcoa,51,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,80.00%,Fewer than 5 Educators
Alcoa,51,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,6.74%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,76.97%,12.92%
Alcoa,51,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,6.47%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,74.10%,15.11%
Maryville,52,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.71%,Fewer than 5 Educators
Maryville,52,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,1.66%,1.42%,Fewer than 5 Educators,Fewer than 5 Educators,88.63%,8.06%
